Year,Date,DOY,Tree_ID,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Notes
2012,2012-04-04,95,J101,3835.4,0,8.38,0.088,204.3,1.98,1.76,17.99,2.33,2.23,1,4.45,23.12,17.99,24.9,379.5,369,1.734,4.027,4.762,11.06,200.7,1498.8,0.21,78,-1.74,0.068,1,-0.22,2.74,1,0,0.16,111115,0.86,0.002,291.1,296.3,239.8,1.67,2.07,26.53,22.51,20.55,2.43,0.087,0.314,2.11,0.054,15.93,0.554,15.54,366.4,0.004,
2012,2012-04-04,95,J102,4648.5,0,6.21,0.055,178.8,1.24,1.77,17.68,1.92,2.31,1,4.63,23.17,17.68,24.95,379.2,372.8,2.165,3.352,5.93,9.18,200.8,1500.4,0.13,78.01,-2.19,0.069,1,-0.22,2.74,1,0,0.16,111115,1.044,0.001,290.8,296.3,240.1,1.89,2.03,26.03,22.67,20.43,2.41,0.054,0.261,2.15,0.034,13.95,0.48,12.61,371,0.002,
2012,2012-04-04,95,J103,208.7,0,4.55,0.054,215.4,1.42,2.05,20.24,1.95,1.42,1,2.84,23.63,20.24,24.99,379.4,364.2,0.035,4.286,0.093,11.41,200,1500.2,1945.18,77.99,-0.84,0.099,0.87,-0.22,2.74,1,0,0.16,111115,0.333,0.001,293.4,296.8,240,2.56,2.38,30.53,26.25,21.94,2.64,0.053,0.334,2.31,0.033,16.8,0.592,14.16,362,0.002,
2012,2012-04-04,95,J104,6631.3,0,9.27,0.117,221.7,3.14,2.12,20.86,2.9,2.1,1,4.2,23.78,20.86,24.98,379.8,364.7,0.02,4.536,0.054,11.97,200.9,1499.1,1943.81,78.01,-0.7,0.1,1,-0.22,2.74,1,0,0.16,111115,0.693,0.003,294,296.9,239.9,1.12,2.47,31.72,27.18,22.32,2.71,0.114,0.354,2.35,0.071,17.3,0.608,15.08,361.8,0.004,
2012,2012-04-04,95,J105,4870.5,0,7.09,0.076,202.5,2.11,2.17,20.56,3.22,2.03,1,4.06,23.7,20.56,24.98,379.5,366.9,0.014,3.383,0.038,8.97,200.9,1501,1260.08,78.03,-0.93,0.123,1,-0.22,2.74,1,0,0.16,111115,0.623,0.002,293.7,296.8,240.2,1.58,2.43,31.14,27.76,22.13,2.67,0.075,0.264,2.41,0.047,15.8,0.552,10.96,364.6,0.002,
2012,2012-04-04,95,J106,5841.6,0,8.43,0.11,226.4,2.99,2.13,21.04,3.23,2.03,1,4.05,23.89,21.04,24.98,379.7,364.4,0.014,4.796,0.038,12.58,200.9,1499.1,1941.44,78.02,-0.83,0.098,1,-0.22,2.74,1,0,0.16,111115,0.621,0.003,294.2,297,239.9,1.22,2.5,32.07,27.27,22.46,2.73,0.107,0.374,2.36,0.067,17.66,0.621,15.66,361.6,0.004,
2012,2012-04-04,95,J107,2386.7,0,10.58,0.151,238.4,4.31,2.26,21.58,1.91,2.32,1,4.64,23.97,21.58,24.98,379.4,367.8,0.111,4.206,0.29,10.99,200,1499.7,1940.49,78.13,1.14,0.109,1,-0.22,2.74,1,0,0.16,111115,1.047,0.004,294.7,297.1,240,0.59,2.59,33.1,28.9,22.77,2.78,0.146,0.329,2.45,0.092,18.63,0.648,13.85,364.8,0.004,
2012,2012-04-04,95,J108,8674,0,8.54,0.084,188.3,2.26,2.11,20.17,2.9,2.1,1,4.2,23.96,20.17,25.1,379.9,366.4,0.086,3.338,0.225,8.72,200.8,1500.7,0.17,78.04,0.08,0.031,1,-0.22,2.74,1,0,0.16,111115,0.693,0.002,293.3,297.1,240.1,1.53,2.37,30.39,27.06,22.07,2.66,0.082,0.26,2.4,0.051,14.69,0.514,11.22,363.7,0.003,
2012,2012-04-04,95,J109,5940.3,0,3.81,0.039,200.7,1.37,2.69,23.63,2.94,2.09,1,4.18,24.57,23.63,24.98,379.6,373.3,1.042,3.05,2.629,7.69,199.9,1499.8,1927.84,78.15,1.66,0.16,1,-0.22,2.74,1,0,0.16,111115,0.679,0.001,296.8,297.7,240,1.6,2.93,37.49,34.44,24.1,3.01,0.039,0.238,2.78,0.024,15.68,0.538,7.11,372.1,0.001,
2012,2012-04-04,95,J110,3046.7,0,6.18,0.051,164.3,1.55,2.34,21,2.28,2.24,1,4.47,23.84,21,24.99,379.7,372,0.201,1.959,0.529,5.16,200,1499.3,1944.97,78.14,0.98,0.134,0.93,-0.22,2.74,1,0,0.16,111115,0.878,0.002,294.2,297,239.9,1.61,2.5,31.94,29.98,22.42,2.72,0.051,0.153,2.57,0.032,12.84,0.442,5.6,370.1,0.001,
