Year,Date,Month,Species,ID,Tissue,Treatment,Tot.NSC,Starch,Tot.Sug,Suc,Gluc.Fruc
2012,2012-03-14,3,JUMO,101,leaf,A,7.774898035,2.766373543,5.008524492,4.130013823,0.878510669
2012,2012-03-14,3,JUMO,101,twig,A,3.298679745,1.406880341,1.891799404,0.84695665,1.044842755
2012,2012-03-14,3,JUMO,102,leaf,A,5.740633487,2.154555586,3.586077901,2.322784299,1.263293602
2012,2012-03-14,3,JUMO,102,twig,A,3.784779175,1.618670262,2.166108914,0.841205361,1.324903553
2012,2012-03-14,3,JUMO,103,leaf,D,8.551169796,4.778622105,3.772547692,2.438459196,1.334088496
2012,2012-03-14,3,JUMO,103,twig,D,5.876411478,3.220458509,2.655952969,1.081196189,1.57475678
2012,2012-03-14,3,JUMO,104,twig,D,3.136948719,1.640364787,1.496583932,0.594722811,0.901861121
2012,2012-03-14,3,JUMO,106,leaf,D,6.115055376,1.903577323,4.211478053,1.599105936,2.612372117
2012,2012-03-14,3,JUMO,106,twig,D,5.094225623,1.293983949,3.800241674,0.372483962,3.427757712
2012,2012-03-14,3,JUMO,114,leaf,HD,8.038118586,4.570554484,3.467564103,1.680252253,1.78731185
2012,2012-03-14,3,JUMO,114,twig,HD,4.617583361,2.279542297,2.338041065,0.575444219,1.762596846
2012,2012-03-14,3,JUMO,116,leaf,D,7.792324763,4.262736157,3.529588606,2.547108888,0.982479719
2012,2012-03-14,3,JUMO,116,twig,D,4.512492308,1.795280874,2.717211434,0.926412805,1.790798629
2012,2012-03-14,3,JUMO,118,leaf,H,7.716548853,4.335346838,3.381202015,2.434793438,0.946408577
2012,2012-03-14,3,JUMO,118,twig,H,3.563302087,1.067160035,2.496142053,1.185066196,1.311075857
2012,2012-03-14,3,JUMO,119,leaf,H,7.823172414,2.768560583,5.054611832,3.665017353,1.389594479
2012,2012-03-14,3,JUMO,119,twig,H,5.273039519,1.905414231,3.367625289,1.626155544,1.741469745
2012,2012-03-14,3,JUMO,120,leaf,CC,7.882921171,4.941914455,2.941006716,1.588304962,1.352701755
2012,2012-03-14,3,JUMO,120,twig,CC,4.381260417,2.259466607,2.121793811,0.453370652,1.668423159
2012,2012-03-14,3,JUMO,121,leaf,H,10.43394699,5.0415831,5.392363886,1.703706066,3.68865782
2012,2012-03-14,3,JUMO,121,twig,H,3.840041036,1.474367606,2.36567343,1.306143295,1.059530135
2012,2012-03-14,3,JUMO,123,leaf,A,6.238244933,3.709361438,2.528883495,1.781442878,0.747440617
2012,2012-03-14,3,JUMO,123,twig,A,3.267255412,1.080213188,2.187042224,1.503420299,0.683621926
2012,2012-03-14,3,JUMO,124,leaf,A,6.177416567,2.749922795,3.427493772,2.758267281,0.669226491
2012,2012-03-14,3,JUMO,124,twig,A,4.631909335,1.136634989,3.495274346,2.443951978,1.051322369
2012,2012-03-14,3,JUMO,125,leaf,H,8.263667217,2.974970518,5.288696699,3.169917715,2.118778984
2012,2012-03-14,3,JUMO,125,twig,H,4.098544052,1.052194828,3.046349225,1.522818644,1.523530581
2012,2012-03-14,3,JUMO,126,leaf,CC,8.335933446,3.750589474,4.585343972,2.538227487,2.047116486
2012,2012-03-14,3,JUMO,126,twig,CC,5.152798903,1.689313436,3.463485467,2.154731355,1.308754112
2012,2012-03-14,3,JUMO,127,leaf,CC,6.964200037,3.412745192,3.551454845,2.397510752,1.153944093
2012,2012-03-14,3,JUMO,127,twig,CC,4.031221988,1.591542799,2.439679189,0.750665369,1.68901382
2012,2012-03-14,3,JUMO,129,leaf,CC,4.933207843,3.090012549,1.843195294,1.32804076,0.515154535
2012,2012-03-14,3,JUMO,129,twig,CC,4.272560939,1.564504373,2.708056566,1.238976431,1.469080135
2012,2012-03-14,3,JUMO,130,leaf,CC,9.86265478,5.583190728,4.279464052,2.718384136,1.561079916
2012,2012-03-14,3,JUMO,130,twig,CC,3.543896099,1.401797491,2.142098608,0.384473413,1.757625195
2012,2012-03-14,3,PIED,11,leaf,D,11.21156769,5.365891127,5.845676564,0.268418927,5.577257636
2012,2012-03-14,3,PIED,11,twig,D,9.820038695,5.009054566,4.81098413,2.128085813,2.682898317
2012,2012-03-14,3,PIED,13,leaf,HD,7.687955558,2.484409245,5.203546313,1.67766247,3.525883843
2012,2012-03-14,3,PIED,13,twig,HD,6.052874711,3.168563985,2.884310726,1.174547455,1.709763272
2012,2012-03-14,3,PIED,14,leaf,D,9.56333594,3.465094274,6.098241666,0.461765987,5.636475679
2012,2012-03-14,3,PIED,14,twig,D,8.906563702,5.061832942,3.84473076,1.610090628,2.234640133
2012,2012-03-14,3,PIED,18,leaf,HD,9.245646917,2.192777352,7.052869565,0.587611067,6.465258498
2012,2012-03-14,3,PIED,18,twig,HD,8.906973545,5.157392954,3.749580591,1.004495591,2.745085
2012,2012-03-14,3,PIED,2,leaf,A,10.60349452,3.700889145,6.90260537,0.700010425,6.202594945
2012,2012-03-14,3,PIED,2,twig,A,7.172755048,3.485477759,3.68727729,1.973832163,1.713445127
2012,2012-03-14,3,PIED,21,leaf,H,7.329644474,1.505906871,5.823737603,0.392119292,5.431618311
2012,2012-03-14,3,PIED,21,twig,H,10.59785342,5.677587045,4.92026637,1.576041586,3.344224785
2012,2012-03-14,3,PIED,22,leaf,A,8.569886704,2.514239194,6.05564751,0.217445722,5.838201788
2012,2012-03-14,3,PIED,22,twig,A,9.886208705,4.963529044,4.922679662,2.095042685,2.827636977
2012,2012-03-14,3,PIED,23,leaf,CC,9.01491269,2.99491673,6.01999596,0.097337922,5.922658038
2012,2012-03-14,3,PIED,23,twig,CC,9.070623901,3.952086481,5.11853742,2.291945496,2.826591924
2012,2012-03-14,3,PIED,25,leaf,H,8.976519199,4.192157131,4.784362068,0.419492373,4.364869695
2012,2012-03-14,3,PIED,25,twig,H,8.968207023,5.280443251,3.687763772,0.680546057,3.007217715
